INDEXID,INDEXNAME,INDEXCURRENCY,INDEXVARIANT
703755,MSCI World Momentum NET EUR,EUR,NETR
703841,MSCI World ex USA Momentum NET EUR,EUR,NETR
703026,MSCI ACWI Momentum NET EUR,EUR,NETR
715672,MSCI AC Europe Momentun NET EUR,EUR,NETR
990500,MSCI AC Europe NET EUR,EUR,NETR
990100,MSCI World NET EUR,EUR,NETR
733339,MSCI World SRI filtered Ex Fossil Fuel in NET EUR,EUR,NETR
891800,MSCI Daily TR Net Emerging Markets USD,EUR,NETR
106803,MSCI World Information Tech Index Net Return EUR Real Time,EUR,NETR
107055,MSCI Daily TR World Net Auto Components,EUR,NETR
107052,MSCI Daily TR World Net Air Freight,EUR,NETR
106830,MSCI Daily TR World Net Aerospace & Defense,EUR,NETR
106834,MSCI Daily TR World Net Airlines,EUR,NETR
106837,MSCI Daily TR World Net Automobiles,EUR,NETR
106936,MSCI Daily TR World Net Beverages,EUR,NETR
106839,MSCI Daily TR World Net Biotechnology,EUR,NETR
107048,MSCI Daily TR World Net Building Products,EUR,NETR
107049,MSCI Daily TR World Net Construction & Engineering,EUR,NETR
106841,MSCI Daily TR World Net Communications Equipment,EUR,NETR
777926,MSCI Daily TR World Consumer Finance Net,EUR,NETR
106831,MSCI Daily TR World Net Chemicals,EUR,NETR
107046,MSCI Daily TR World Net Construction Materials,EUR,NETR
778049,MSCI Daily TR World Capital Markets Net,EUR,NETR
107047,MSCI Daily TR World Net Containers & Packaging,EUR,NETR
107072,MSCI Daily TR World Net Computers & Peripherals,EUR,NETR
107051,MSCI Daily TR World Net Commercial Services & Supplies Industry,EUR,NETR
126443,MSCI Daily TR World Net Diversified Consumer Services,EUR,NETR
107068,MSCI Daily TR World Net Diversified Financials Industry,EUR,NETR
107059,MSCI Daily TR World Net Distributors,EUR,NETR
106939,MSCI Daily TR World Net Diversified Telecommunication Services,EUR,NETR
107045,MSCI Daily TR World Net Energy Equipment,EUR,NETR
106938,MSCI Daily TR World Net Electrical Equipment,EUR,NETR
107073,MSCI Daily TR World Net Electronic Equipment & Instruments,EUR,NETR
106846,MSCI Daily TR World Net Electric Utilities,EUR,NETR
106838,MSCI Daily TR World Net Food & Drug Retailing,EUR,NETR
106932,MSCI Daily TR World Net Food Products,EUR,NETR
106845,MSCI Daily TR World Net Gas Utilities,EUR,NETR
135545,MSCI World Health Care Technology Net TR,EUR,NETR
106937,MSCI Daily TR World Net Household Durablesm,EUR,NETR
107066,MSCI Daily TR World Net Health Care Providers & Services,EUR,NETR
107065,MSCI Daily TR World Net Health Care Equipment,EUR,NETR
107057,MSCI Daily TR World Net Hotels Restaurants & Leisure Industry,EUR,NETR
107063,MSCI Daily TR World Net Household Products,EUR,NETR
107071,MSCI Daily TR World Net IT Consulting & Services,EUR,NETR
106934,MSCI Daily TR World Net Industrial Conglomerates,EUR,NETR
126384,MSCI Daily TR World Net Independent Power Producers & Energy Traders,EUR,NETR
107056,MSCI Daily TR World Net Leisure Equipment,EUR,NETR
135703,MSCI World Life Sciences Tools & Services Net TR,EUR,NETR
106935,MSCI Daily TR World Net Machinery,EUR,NETR
106835,MSCI Daily TR World Net Marine,EUR,NETR
107058,MSCI Daily TR World Net Media Industry,EUR,NETR
106833,MSCI Daily TR World Net Metals & Mining,EUR,NETR
106933,MSCI Daily TR World Net Multiline Retail,EUR,NETR
107076,MSCI Daily TR World Net Multi Utilities,EUR,NETR
106829,MSCI Daily TR World Net Oil Gas & Consumable Fuels,EUR,NETR
106832,MSCI Daily TR World Net Paper & Forest Products,EUR,NETR
106840,MSCI Daily TR World Net Pharmaceuticals,EUR,NETR
107064,MSCI Daily TR World Net Personal Products,EUR,NETR
